,,,Stage at diagnosis,Stage at diagnosis,Stage at diagnosis,Age
,,,Localised,Regional,Distant,
Breast,Breast,Breast,Breast,Breast,Breast,Breast
Females,<75,White,"267,976 (69.07)","104,896 (27.04)","15,100 (3.89)",58.19 (10.77)
,,Black,"37,449 (61.23)","20,159 (32.96)","3,557 (5.82)",56.34 (11.08)
,75+,White,"57,691 (74.72)","16,094 (20.84)","3,429 (4.44)",79.88 (3.90)
,,Black,"5,772 (68.67)","2,140 (25.46)",493 (5.87),79.83 (3.85)
Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix)
Males,<75,White,"21,057 (40.64)","21,828 (42.13)","8,930 (17.23)",60.01 (9.98)
,,Black,"3,630 (38.82)","3,773 (40.35)","1,948 (20.83)",58.98 (9.77)
,75+,White,"7,430 (44.86)","7,077 (42.73)","2,057 (12.42)",80.42 (4.00)
,,Black,683 (41.44),651 (39.50),314 (19.05),79.83 (3.82)
Females,<75,White,"17,197 (40.36)","18,169 (42.64)","7,244 (17.00)",60.05 (10.49)
,,Black,"3,568 (38.88)","3,785 (41.24)","1,825 (19.88)",59.03 (10.18)
,75+,White,"8,870 (43.62)","9,208 (45.28)","2,257 (11.10)",81.08 (4.12)
,,Black,970 (41.81),969 (41.77),381 (16.42),80.48 (4.04)
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri
Females,<75,White,"70,446 (77.49)","15,220 (16.74)","5,240 (5.76)",59.73 (9.84)
,,Black,"9,357 (66.40)","3,006 (21.33)","1,729 (12.27)",60.41 (9.31)
,75+,White,"10,460 (70.72)","3,091 (20.90)","1,239 (8.38)",79.48 (3.73)
,,Black,"1,012 (56.38)",491 (27.35),292 (16.27),79.11 (3.59)
Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus
Males,<75,White,"24,024 (36.06)","17,706 (26.58)","24,894 (37.36)",64.70 (7.50)
,,Black,"3,301 (29.38)","2,945 (26.21)","4,990 (44.41)",63.37 (7.84)
,75+,White,"13,562 (43.84)","7,061 (22.83)","10,311 (33.33)",79.79 (3.80)
,,Black,"1,111 (36.96)",688 (22.89),"1,207 (40.15)",79.45 (3.62)
Females,<75,White,"32,254 (41.98)","19,062 (24.81)","25,524 (33.22)",64.30 (7.67)
,,Black,"3,964 (35.79)","2,810 (25.37)","4,302 (38.84)",63.08 (7.96)
,75+,White,"17,344 (47.87)","7,814 (21.57)","11,076 (30.57)",79.88 (3.83)
,,Black,"1,481 (42.79)",744 (21.50),"1,236 (35.71)",79.69 (3.77)
Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx
Males,<75,White,"11,845 (24.99)","31,197 (65.82)","4,358 (9.19)",60.31 (9.23)
,,Black,884 (20.66),"2,752 (64.31)",643 (15.03),58.14 (10.41)
,75+,White,"3,059 (36.53)","4,481 (53.52)",833 (9.95),79.66 (3.86)
,,Black,117 (26.53),257 (58.28),67 (15.19),79.63 (3.74)
Females,<75,White,"7,660 (46.54)","7,530 (45.75)","1,269 (7.71)",59.07 (11.35)
,,Black,854 (41.00),963 (46.23),266 (12.77),55.69 (12.76)
,75+,White,"2,276 (49.27)","1,920 (41.57)",423 (9.16),80.38 (4.09)
,,Black,102 (38.78),115 (43.73),46 (17.49),80.05 (3.68)
Ovary,Ovary,Ovary,Ovary,Ovary,Ovary,Ovary
Females,<75,White,"7,915 (30.84)","5,631 (21.94)","12,118 (47.22)",55.93 (12.89)
,,Black,"1,119 (32.86)",652 (19.15),"1,634 (47.99)",54.27 (13.37)
,75+,White,705 (14.53),846 (17.44),"3,300 (68.03)",79.92 (3.92)
,,Black,71 (16.86),51 (12.11),299 (71.02),79.77 (3.80)
Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
Males,<75,White,"4,399 (24.20)","6,420 (35.33)","7,355 (40.47)",62.49 (9.20)
,,Black,572 (21.26),912 (33.89),"1,207 (44.85)",60.66 (9.58)
,75+,White,"1,728 (26.57)","2,214 (34.05)","2,561 (39.38)",79.88 (3.82)
,,Black,160 (26.98),201 (33.90),232 (39.12),79.75 (3.84)
Females,<75,White,"3,984 (25.94)","5,635 (36.69)","5,738 (37.36)",61.74 (10.66)
,,Black,824 (26.87),"1,074 (35.02)","1,169 (38.12)",60.30 (10.62)
,75+,White,"1,635 (24.49)","2,409 (36.09)","2,631 (39.42)",80.24 (3.96)
,,Black,230 (26.71),284 (32.98),347 (40.30),80.33 (4.01)
Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum
Males,<75,White,"13,599 (39.10)","15,287 (43.96)","5,891 (16.94)",57.80 (10.17)
,,Black,"2,123 (45.50)","1,680 (36.01)",863 (18.50),57.43 (9.85)
,75+,White,"2,590 (45.21)","2,386 (41.65)",753 (13.14),80.04 (3.97)
,,Black,221 (43.00),179 (34.82),114 (22.18),79.88 (3.93)
Females,<75,White,"9,906 (42.62)","9,674 (41.62)","3,665 (15.77)",57.12 (10.56)
,,Black,"2,200 (56.83)","1,146 (29.60)",525 (13.56),55.98 (10.59)
,75+,White,"2,002 (45.69)","1,746 (39.84)",634 (14.47),80.48 (4.09)
,,Black,224 (49.56),160 (35.40),68 (15.04),80.18 (4.06)
