sex,race,stage,age_group,count,mean_age,sd_age,denominator,percentage,cancer_site
Female,White,Localised,1,267976,58.18919406555112,10.76522077413543,387972,69.07096388399164,Breast
Female,White,Regional,1,104896,58.18919406555112,10.76522077413543,387972,27.0370026702958,Breast
Female,White,Distant,1,15100,58.18919406555112,10.76522077413543,387972,3.892033445712577,Breast
Female,Black,Localised,1,37449,56.34424916210251,11.08346516569503,61165,61.22619144935829,Breast
Female,Black,Regional,1,20159,56.34424916210251,11.08346516569503,61165,32.95839123681844,Breast
Female,Black,Distant,1,3557,56.34424916210251,11.08346516569503,61165,5.815417313823265,Breast
Female,White,Localised,2,57691,79.88047504338591,3.897734834072163,77214,74.71572512756754,Breast
Female,White,Regional,2,16094,79.88047504338591,3.897734834072163,77214,20.84337037324837,Breast
Female,White,Distant,2,3429,79.88047504338591,3.897734834072163,77214,4.440904499184086,Breast
Female,Black,Localised,2,5772,79.82748364069006,3.854811665263904,8405,68.67340868530637,Breast
Female,Black,Regional,2,2140,79.82748364069006,3.854811665263904,8405,25.46103509815586,Breast
Female,Black,Distant,2,493,79.82748364069006,3.854811665263904,8405,5.865556216537775,Breast
Male,White,Localised,1,21057,60.01171475441475,9.976244498850399,51815,40.63881115507093,Colon
Male,White,Regional,1,21828,60.01171475441475,9.976244498850399,51815,42.12679725948085,Colon
Male,White,Distant,1,8930,60.01171475441475,9.976244498850399,51815,17.23439158544823,Colon
Male,Black,Localised,1,3630,58.98096460271628,9.767602301854462,9351,38.81937760667309,Colon
Male,Black,Regional,1,3773,58.98096460271628,9.767602301854462,9351,40.34862581542081,Colon
Male,Black,Distant,1,1948,58.98096460271628,9.767602301854462,9351,20.83199657790611,Colon
Male,White,Localised,2,7430,80.4225428640425,4.004387065427315,16564,44.85631489978266,Colon
Male,White,Regional,2,7077,80.4225428640425,4.004387065427315,16564,42.72518715286163,Colon
Male,White,Distant,2,2057,80.4225428640425,4.004387065427315,16564,12.41849794735571,Colon
Male,Black,Localised,2,683,79.83495145631068,3.822814172094047,1648,41.44417475728155,Colon
Male,Black,Regional,2,651,79.83495145631068,3.822814172094047,1648,39.50242718446602,Colon
Male,Black,Distant,2,314,79.83495145631068,3.822814172094047,1648,19.05339805825243,Colon
Female,White,Localised,1,17197,60.05123210513964,10.48894678479651,42610,40.35907064069468,Colon
Female,White,Regional,1,18169,60.05123210513964,10.48894678479651,42610,42.64022529922553,Colon
Female,White,Distant,1,7244,60.05123210513964,10.48894678479651,42610,17.00070406007979,Colon
Female,Black,Localised,1,3568,59.02560470690782,10.17714399413159,9178,38.87557202004794,Colon
Female,Black,Regional,1,3785,59.02560470690782,10.17714399413159,9178,41.23992155153628,Colon
Female,Black,Distant,1,1825,59.02560470690782,10.17714399413159,9178,19.88450642841578,Colon
Female,White,Localised,2,8870,81.08291123678387,4.12055359371716,20335,43.61937546102779,Colon
Female,White,Regional,2,9208,81.08291123678387,4.12055359371716,20335,45.28153430046717,Colon
Female,White,Distant,2,2257,81.08291123678387,4.12055359371716,20335,11.09909023850504,Colon
Female,Black,Localised,2,970,80.47499999999999,4.038652724088438,2320,41.81034482758621,Colon
Female,Black,Regional,2,969,80.47499999999999,4.038652724088438,2320,41.76724137931034,Colon
Female,Black,Distant,2,381,80.47499999999999,4.038652724088438,2320,16.42241379310345,Colon
Female,White,Localised,1,70446,59.72874177722043,9.844848903136981,90906,77.49323476998218,Corpus_and_uterus
Female,White,Regional,1,15220,59.72874177722043,9.844848903136981,90906,16.74256924735441,Corpus_and_uterus
Female,White,Distant,1,5240,59.72874177722043,9.844848903136981,90906,5.764195982663411,Corpus_and_uterus
Female,Black,Localised,1,9357,60.40874254896395,9.312822704841581,14092,66.39937553221687,Corpus_and_uterus
Female,Black,Regional,1,3006,60.40874254896395,9.312822704841581,14092,21.3312517740562,Corpus_and_uterus
Female,Black,Distant,1,1729,60.40874254896395,9.312822704841581,14092,12.26937269372694,Corpus_and_uterus
Female,White,Localised,2,10460,79.47599729546991,3.73499186697801,14790,70.72346179851252,Corpus_and_uterus
Female,White,Regional,2,3091,79.47599729546991,3.73499186697801,14790,20.89925625422583,Corpus_and_uterus
Female,White,Distant,2,1239,79.47599729546991,3.73499186697801,14790,8.377281947261665,Corpus_and_uterus
Female,Black,Localised,2,1012,79.10640668523676,3.59414520835951,1795,56.37883008356545,Corpus_and_uterus
Female,Black,Regional,2,491,79.10640668523676,3.59414520835951,1795,27.35376044568245,Corpus_and_uterus
Female,Black,Distant,2,292,79.10640668523676,3.59414520835951,1795,16.26740947075209,Corpus_and_uterus
Male,White,Localised,1,24024,64.70064841498559,7.501656884350023,66624,36.05907780979827,Lung_and_bronchus
Male,White,Regional,1,17706,64.70064841498559,7.501656884350023,66624,26.57600864553314,Lung_and_bronchus
