sex,race,cancer_site,age_group,cases,excluded_1,excluded_2,excluded_3,excluded_4,excluded_5,excluded_6,included,denominator_1,denominator_2,denominator_3,denominator_4,denominator_5,denominator_6,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_included
Female,White,Breast,1,1119258,70426,1904,13,0,5,22591,1024319,1119258,1048832,1046928,1046915,1046915,1046910,6.292204299634221,.1815352697095436,.0012417281799704,0,.0004775936919425,2.157874124805379,91.51768403710315
Female,Black,Breast,1,173515,10917,345,3,0,2,4490,157758,173515,162598,162253,162250,162250,162248,6.291675071319483,.2121797316080148,.0018489642718471,0,.0012326656394453,2.767368472954983,90.91894072558568
Female,White,Breast,2,300164,32280,5698,0,23014,1,9206,229965,300164,267884,262186,262186,239172,239171,10.75412108047601,2.127040062116439,0,8.777737941766532,.0004181091432107,3.849128865957829,76.6131181620714
Female,Black,Breast,2,30463,2918,581,0,2320,0,1168,23476,30463,27545,26964,26964,24644,24644,9.578833338804452,2.109275730622618,0,8.604064678831035,0,4.739490342476871,77.06397925352067
Male,White,Colon,1,190392,5949,1609,22,0,12,7596,175204,190392,184443,182834,182812,182812,182800,3.124606075885541,.8723562292957716,.0120327728978199,0,.0065641205172527,4.155361050328228,92.02277406613723
Male,Black,Colon,1,35676,1070,448,6,0,1,1699,32452,35676,34606,34158,34152,34152,34151,2.999215158650073,1.294573195399642,.0175654312313367,0,.0029280862028578,4.974964129893707,90.96311245655343
Male,White,Colon,2,99664,4645,2325,0,8726,2,5526,78440,99664,95019,92694,92694,83968,83966,4.66065981698507,2.446879045243583,0,9.41377003905323,.0023818597560976,6.581235261891718,78.7044469417242
Male,Black,Colon,2,9777,446,284,0,610,0,712,7725,9777,9331,9047,9047,8437,8437,4.561726500971668,3.043618047368985,0,6.742566596661876,0,8.439018608510134,79.0119668610003
Female,White,Colon,1,153307,3961,817,19,0,9,5783,142718,153307,149346,148529,148510,148510,148501,2.583704592745276,.5470518125694696,.012792114671209,0,.0060601979664669,3.894249870371243,93.0929442230296
Female,Black,Colon,1,34025,900,216,2,0,3,1359,31545,34025,33125,32909,32907,32907,32904,2.645113886847906,.6520754716981132,.006077364854599,0,.0091166013310238,4.13019693654267,92.7112417340191
Female,White,Colon,2,130314,6000,3955,0,17302,4,6884,96169,130314,124314,120359,120359,103057,103053,4.60426354804549,3.181459851665943,0,14.37532714628736,.0038813472156185,6.680057834318263,73.79790352533112
Female,Black,Colon,2,14225,601,455,0,1593,0,936,10640,14225,13624,13169,13169,11576,11576,4.224956063268893,3.339694656488549,0,12.09659047763687,0,8.085694540428474,74.79789103690685
Female,White,Corpus_and_uterus,1,250030,338,500,9,0,2,8670,240511,250030,249692,249192,249183,249183,249181,.1351837779466464,.2002467039392532,.0036116729268997,0,.0008026229718721,3.479398509517178,96.19285685717713
Female,Black,Corpus_and_uterus,1,38048,66,134,3,0,2,1873,35970,38048,37982,37848,37845,37845,37843,.1734650967199327,.3527986941182665,.0079264426125555,0,.0052847139648567,4.949396189519859,94.53847771236333
Female,White,Corpus_and_uterus,2,53154,92,1062,0,3796,3,3323,44878,53154,53062,52000,52000,48204,48201,.173081988185273,2.001432286758886,0,7.3,.0062235499128703,6.894047841331092,84.43014636715958
Female,Black,Corpus_and_uterus,2,6823,9,160,0,368,0,605,5681,6823,6814,6654,6654,6286,6286,.1319067858713176,2.348106838861168,0,5.530507965133754,0,9.62456251988546,83.26249450388391
Male,White,Lung_and_bronchus,1,392186,7371,7276,112,0,3,16939,360485,392186,384815,377539,377427,377427,377424,1.87946535572407,1.890778685862037,.0296658093600926,0,.0007948556939488,4.48805587350036,91.91684557837353
Male,Black,Lung_and_bronchus,1,66067,1088,1370,16,0,0,2821,60772,66067,64979,63609,63593,63593,63593,1.646813083687771,2.108373474507149,.0251536732223428,0,0,4.436022832701712,91.98540875172174
