,Males,Males,Males,Females,Females
,<75,<75,75+,<75,75+
Breast,Breast,Breast,Breast,Breast,Breast
N,N,,,"10,309","1,745"
1 year,,,,"109.1 (104.7, 113.4)","27.3 (24.7, 29.9)"
3 years,N/A,N/A,N/A,"227.1 (219.0, 235.2)","42.6 (39.2, 46.0)"
5 years,,,,"285.9 (276.0, 295.9)","43.7 (40.4, 46.9)"
Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix),Colon (excluding Appendix)
N,N,"1,918",429,"1,802",581
1 year,"35.3 (31.7, 39.0)","35.3 (31.7, 39.0)","13.4 (11.5, 15.3)","25.1 (22.0, 28.2)","20.6 (18.5, 22.6)"
3 years,"54.5 (48.6, 60.3)","54.5 (48.6, 60.3)","14.2 (12.2, 16.2)","40.9 (35.5, 46.3)","21.9 (19.7, 24.0)"
5 years,"57.5 (51.1, 63.8)","57.5 (51.1, 63.8)","11.5 (9.9, 13.1)","44.6 (38.5, 50.7)","18.9 (17.1, 20.7)"
Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri,Corpus uteri
N,N,,,"2,843",483
1 year,,,,"142.9 (137.8, 147.9)","33.1 (35.7, 30.6)"
3 years,N/A,N/A,N/A,"214.5 (207.2, 221.9)","41.5 (38.6, 44.5)"
5 years,,,,"225.6 (217.9, 233.2)","38.0 (35.5, 40.6)"
Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus,Lung and bronchus
N,N,"3,188","1,019","2,757","1,113"
1 year,"52.7 (47.0, 58.4)","52.7 (47.0, 58.4)","15.5 (12.7, 18.3)","43.9 (38.9, 48.9)","22.4 (18.8, 25.9)"
3 years,"51.8 (46.4, 57.3)","51.8 (46.4, 57.3)","12.6 (10.5, 14.7)","51.5 (45.8, 57.3)","20.9 (17.8, 23.9)"
5 years,"43.2 (38.7, 47.7)","43.2 (38.7, 47.7)","8.6 (7.3, 10.0)","48.1 (42.8, 53.4)","16.2 (13.9, 18.5)"
Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx,Oral cavity and pharynx
N,N,902,132,408,67
1 year,"25.4 (23.6, 27.2)","25.4 (23.6, 27.2)","5.0 (4.3, 5.6)","12.9 (11.3, 14.4)","3.9 (3.2, 4.6)"
3 years,"33.1 (30.9, 35.4)","33.1 (30.9, 35.4)","5.7 (5.0, 6.4)","18.9 (16.6, 21.2)","4.2 (3.5, 5.0)"
5 years,"33.0 (30.8, 35.1)","33.0 (30.8, 35.1)","4.9 (4.3, 5.5)","20.0 (17.6, 22.3)","3.6 (3.0, 4.3)"
Ovary,Ovary,Ovary,Ovary,Ovary,Ovary
N,N,,,808,140
1 year,,,,"7.3 (5.8, 8.8)","0.5 (-0.3, 1.2)"
3 years,N/A,N/A,N/A,"11.7 (9.1, 14.3)","0.4 (-0.4, 1.2)"
5 years,,,,"13.2 (10.0, 16.3)","0.3 (-0.4, 1.0)"
Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
N,N,980,307,"1,051",438
1 years,"11.1 (8.0, 14.2)","11.1 (8.0, 14.2)","2.9 (1.9, 3.9)","4.6 (0.6, 8.6)","3.3 (1.9, 4.8)"
3 years,"6.4 (4.0, 8.8)","6.4 (4.0, 8.8)","1.2 (0.7, 1.8)","2.2 (-1.3, 5.6)","1.0 (0.4, 1.6)"
5 years,"4.1 (2.1, 6.1)","4.1 (2.1, 6.1)","0.7 (0.3, 1.1)","0.7 (-2.2, 3.6)","0.3 (-0.0, 0.7)"
Rectum,Rectum,Rectum,Rectum,Rectum,Rectum
N,N,991,131,788,123
1 year,"9.3 (6.9, 11.7)","9.3 (6.9, 11.7)","3.9 (2.9, 4.9)","-5.1 (-7.1, -3.1)","0.8 (-0.2, 1.7)"
3 years,"12.7 (8.4, 17.0)","12.7 (8.4, 17.0)","4.0 (3.0, 4.9)","-13.7 (-17.4, -10.0)","0.6 (-0.4, 1.6)"
5 years,"9.6 (4.9, 14.2)","9.6 (4.9, 14.2)","3.0 (2.3, 3.8)","-19.3 (-23.6, -15.0)","0.4 (-0.5, 1.3)"
