,Age,Race,Cases,Subsequent tumour at same site,DCO / autopsy finding,Patient < 15 y,Patient > 89 y,In situ stage,Unknown stage,Included in analysis
,75+,White,"33,590 (100)",37  / (0.11),"1,638 (4.88)",0  / (0.00),"3,268 (10.24)",0 (0.00),"3,102 (10.83)","25,545 (76.05)"
,,Black,"2,903 (100)",2  / (0.07),171 (5.89),0  / (0.00),231 (8.46),0 (0.00),316 (12.65),"2,183 (75.20)"
Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
Males,<75,White,"93,895 (100)",107  / (0.11),"1,904 (2.03)",45 (0.05),0  / (0.00),0 (0.00),"4,989 (5.43)","86,850 (92.50)"
,,Black,"15,173 (100)",17  / (0.11),434 (2.86),8  / (0.05),0  / (0.00),0 (0.00),836  / (5.68),"13,878 (91.47)"
,75+,White,"49,127 (100)",42  / (0.09),"2,760 (5.62)",0  / (0.00),"3,759 (8.11)",0 (0.00),"4,434 (10.42)","38,132 (77.62)"
,,Black,"4,346 (100)",2  / (0.05),276 (6.35),0 / (0.00),228 (5.60),0 (0.00),396 (10.31),"3,444 (79.25)"
Females,<75,White,"73,009 (100)",98  / (0.13),"1,055 (1.45)",89 (0.12),0  / (0.00),0 (0.00),"3,726 (5.19)","68,041 (93.20)"
,,Black,"14,573 (100)",17  / (0.12),222 (1.53),16 (0.11),0  / (0.00),0 (0.00),814  / (5.69),"13,504 (92.66)"
,75+,White,"61,209 (100)",45  / (0.07),"4,711 (7.70)",0  / (0.00),"7,407 (13.12)",0 (0.00),"6,091 (12.42)","42,955 (70.18)"
,,Black,"7,820 (100)",8  / (0.10),515 (6.59),0  / (0.00),869 (11.91),0 (0.00),741 (11.53),"5,687 (72.72)"
Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum
Males,<75,White,"115,040 (100)","1,282  / (1.11)",380 (0.33),7  / (0.01),0  / (0.00),9 (0.01),"6,493 (5.73)","106,869 (92.90)"
,,Black,"16,450 (100)",202  / (1.23),89 (0.55),3  / (0.02),0  / (0.00),0 (0.00),"1,323 (8.19)","14,833 (90.17)"
,75+,White,"32,231 (100)",642  / (1.99),327 (1.04),0  / (0.00),"2,359 (7.55)",5 (0.02),"2,760 (9.55)","26,138 (81.10)"
,,Black,"2,765 (100)",62 / (2.24),31 (1.15),0  / (0.00),156 (5.84),0 (0.00),303 (12.04),"2,213 (80.04)"
Females,<75,White,"74,693 (100)",666  / (0.89),181 (0.24),4 / (0.01),0  / (0.00),6 (0.01),"4,616 (6.25)","69,220 (92.67)"
,,Black,"12,953 (100)",168  / (1.30),36 (0.28),0  / (0.00),0  / (0.00),2 (0.02),"1,221 (9.58)","11,526 (88.98)"
,75+,White,"28,872 (100)",461  / (1.60),551 (1.94),0  / (0.00),"3,565 (12.80)",2 (0.01),"2,528 (10.41)","21,765 (75.38)"
,,Black,"3,048 (100)",59  / (1.94),64 (2.14),0  / (0.00),336 (11.49),1 (0.04),331 (12.79),"2,257 (74.05)"
